EC,SA,taxa difference,comment
1.1.1.17,0.002,3," algal extract, pH 6.3, 30°C, in presence"
1.1.1.17,0.046,3," purified recombinant enzyme, D-fructose"
1.1.1.17,0.016,3," purified recombinant enzyme, D-mannitol"
1.1.1.17,0.014,3," recombinant enzyme, D-mannitol 1-phosphate"
1.1.1.17,0.026,3," recombinant enzyme, D-fructose 6-phosphate"
1.1.1.27,2030,3, 2030.0 <19>
1.1.1.34,4.9,3," 50°C, wild-type <30>) <29,30>"
1.1.1.37,1.55,3, tetrameric enzyme form <72>) <72>
1.1.1.37,1.61,3, dimeric enzyme form <72>) <72>
1.1.1.44,175,3, cell-free extract <61>) <61>
1.1.1.44,156,3, 156.0 <61>
1.1.1.67,54,3, purified enzyme at 80°C with D-fructose as the
1.1.1.8,120,3," pH 7.5, 25°C <34>) <34>"
1.1.1.9,11.7,3," purified recombinant wild-type enzyme, pH 9.0, 35°C"
1.1.1.9,57.8,3," purified native enzyme, pH 9.0, 35°C <60>) <60>"
1.1.3.6,17,3, 17.0 <21>
1.1.3.6,55.2,3, cholesterol oxidase II <45>) <45>
1.11.1.6,82,3, purified recombinant His-tagged enzyme expressed in
1.13.11.1,24.5,3, 24.5 <24>
1.13.11.39,118.3,3," with 2,3-dihydroxybiphenyl as substrate <33>) <33>"
1.13.11.52,1.43,3, 1.43 <120>
1.14.11.9,0.00026,3, unripe fruit: 4400 nkat/kg total protein (enzyme
1.14.11.9,0.0009,3, ripe fruit: 15072 nkat/kg total protein (enzyme
1.14.11.9,0.00094,3, ripe fruit: 15652 nkat/kg total protein (enzyme
1.14.14.1,0.001,3, purified recombinant Ema1 and Ema16 proteins <16>) <16>
1.14.14.81,0.0000026,3, recombinant wild-type F35H <15>) <15>
1.14.19.2,0.000002,3, activity in extracts from Escherichia coli M15
1.14.19.2,0.000079,3, activity in extracts from Escherichia coli M15
1.14.19.2,0.0000016,3, activity in extracts from Escherichia coli M15
1.14.19.2,0.0000075,3, activity in extracts from Escherichia coli M15
1.17.1.4,0.27,3, substrate
1.17.1.9,3.04,3, 3.04 <5>
1.18.1.2,120,3, 120.0 <38>
1.2.1.12,41.5,3, 41.5 <13>
1.2.1.13,0.026,3," pH not specified in the publication, 37°C, activity"
1.4.1.16,0.19,3, recombinant
1.4.1.2,183,3, 183.0 <37>
1.4.3.22,66,3, 66.0 <15>
1.4.3.5,0.00004,3, activity in crude extracts <10>) <10>
1.5.1.3,12,3, recombinant bifunctional enzyme
1.5.1.3,17.8,3, 17.8 <15>
1.6.2.4,0.05,3, cholate and Lubrol Px <14>) <14>
1.6.2.4,0.059,3, no detergent <14>) <14>
1.7.3.3,27,3, after HiLoad 26/60 Superdex 75 gel filtration <85>) <85>
1.7.3.3,10.5,3, in the cell lysate <85>) <85>
1.7.3.3,21.5,3, after DEAE Sepharose FF chromatography <85>) <85>
1.7.3.3,25.7,3, after Phenyl-Sepharose FF chromatography <85>) <85>
1.8.1.4,90.2,3, 90.2 <31>
1.8.1.7,248,3," purified liver enzyme <86>) <52,86>"
1.8.99.2,0.0017,3, enzyme reaction is initiated by the addition of crude
1.9.3.1,0.258,3, in the presence of cardiolipin <75>) <75>
1.9.3.1,0.0141,3, 0.0141 <75>
2.1.3.3,4.02,3, 4.02 <17>
2.2.1.2,0.6,3, 0.6 <36>
2.2.1.6,150,3," 30°C, 60 ng protein per assay <65>) <65>"
2.2.1.6,267,3," 30°C, 90 ng protein per assay <65>) <65>"
2.3.1.1,62,3, wild-type <33>) <33>
2.3.1.1,0.572,3, wild-type + 1mM arginine <33>) <33>
2.3.1.15,10,3," isoenzyme AT1, approx. value <56>) <56>"
2.3.1.5,5.078,3, wild-type <95>) <95>
2.3.1.5,0.023,3, substrate:
2.3.2.13,197,3," pH 7.5, 37°C <99>) <99>"
2.3.3.16,1.26,3," acetate-grown cells, pH and temperature not specified"
2.3.3.16,0.99,3," glucose-grown cells, pH and temperature not specified"
2.3.3.5,0.018,3, 0.018 <2>
2.3.3.9,36.9,3, 36.9 <4>
2.4.1.34,0.0096,3, membrane plus W-1 <31>) <31>
2.4.1.34,0.0048,3," membrane <31>) <31,32>"
2.4.1.34,0.0109,3, solubilized <31>) <31>
2.6.1.1,450,3, purified isozyme AAT-2 <12>) <12>
2.6.1.1,390,3, purified isozyme AAT-1 <12>) <12>
2.6.1.19,5.79,3," isoform GABA-T1, using pyruvate as amino acceptor <88>)"
2.6.1.19,3.495,3," isoform GABA-T1, using glyoxylate as amino acceptor"
2.7.1.4,1.8,3," substrate ATP, pH 6.5, 50°C <39>) <39>"
2.7.1.4,0.84,3," substrate D-fructose, pH 6.5, 50°C <39>) <39>"
2.7.1.82,1.3,3," pH 8.0, 37°C <31>) <31>"
2.7.7.48,0.0015,3, reaction with poly(C) <6>) <6>
2.7.7.48,0.012,3, activity with CMV RNA <28>) <28>
2.7.7.48,0.13,3, activity with poly(C) <28>) <28>
2.7.7.48,0.00088,3, reaction with CMV RNA <6>) <6>
2.7.7.48,0.000000289,3, 2.89e-07 <14>
2.8.1.1,0.08,3, rhodanese activity in pylore muscle of abomasum of
2.8.1.1,0.01,3, enzyme from
2.8.1.1,1.7,3," enzyme from kidney cortex, pH 9.2, 37°C <64>;"
2.8.1.1,0.07,3, rhodanese activity in lymph node of male and
2.8.1.1,0.28,3, rhodanese activity in small intestine of male
2.8.1.1,0.017,3, spleen <52>) <52>
2.8.1.1,0.018,3, rumen <52>) <52>
2.8.1.1,0.016,3, omasum <52>) <52>
2.8.1.1,0.183,3, liver <52>) <52>
2.8.1.1,0.027,3," enzyme from lung, pH 9.2, 37°C"
2.8.1.1,0.24,3, rhodanese activity in kidney medulla of male
2.8.1.1,0.02,3," enzyme from lung, pH 9.2, 37°C"
2.8.1.1,0.05,3, rhodanese activity in urinary bladder of male
2.8.1.1,0.13,3, rhodanese activity in muscle of rumen of female
3.1.1.1,52.8,3, 52.8 <54>
3.1.1.2,1.3,3," pH 8.0, 25°C, substrate: 4-nitrophenyl butyrate,"
3.1.1.2,13.6,3," pH 8.0, 25°C, substrate: 4-nitrophenyl propionate,"
3.1.1.2,1120,3," pH 8.0, 25°C, substrate: phenyl acetate, purified"
3.1.1.2,465,3, recombinant enzyme after 90fold purification <90>) <90>
3.1.1.2,5.15,3, recombinant enzyme from crude cell extract <90>) <90>
3.1.1.2,15,3," pH 8.0, 25°C, substrate: 4-nitrophenyl acetate,"
3.1.1.3,2500,3, purified recombinant wild-type enzyme <190>;
3.1.1.72,121.5,3," purified recombinant enzyme, substrate acetylated"
3.1.1.75,56.3,3, purification step: affinity binding to
3.1.15.1,0.05,3, per mg of venom <30>) <30>
3.1.26.4,0.31,3," 15°C, pH 8.5, purified recombinant enzyme <65>) <65>"
3.1.26.4,1.1,3,
3.1.27.1,1600,3, purified
