locus_id	mean_6h	mean_8h	mean_12h	mean_18h	std_dev_6h	std_dev_8h	std_dev_12h	std_dev_18h
AT1G01050	0.9612344777	0.9959338363	0.9132782117	1.1042080117	0.0266463869	0.0079657882	0.1014104763	0.100094892
AT1G01080	1.1285982273	1.0604961167	1.080781552	1.0073049617	0.0284874284	0.0090921216	0.0398414964	0.0253101733
AT1G01090	1.3471658743	1.221230274	1.1133800693	1.1329789787	0.0620285692	0.0931956225	0.030996727	0.0691127191
AT1G01100	1.0643155357	0.9808681677	0.954576434	0.8401351927	0.083632308	0.0281627111	0.0354457422	0.0327360665
AT1G01220	1.0266223153	1.0297071883	1.1343496663	1.1642985463	0.0235971417	0.0213896904	0.0456219542	0.0914620468
AT1G01300	1.2431411163	1.0238876553	0.9287984953	1.1108409683	0.0579576328	0.0968745141	0.0647254153	0.1260281339
AT1G01320	1.0584503747	1.0481264973	1.066116518	0.91010697	0.0169081491	0.0295596722	0.0134981977	0.006679207
AT1G01470	0.9998172253	1.015755203	0.705137522	0.801251315	0.0711180522	0.0596463484	0.2622738707	0.0345609607
AT1G01610	1.265166061	1.1868288933	1.0266102327	0.981511748	0.0440222382	0.1403923248	0.0161339859	0.1150828036
AT1G01620	1.529253224	1.3388294457	1.1532732273	0.981814705	0.1094004551	0.0785507973	0.1644070091	0.0462390803
AT1G01630	1.4083344977	1.364645364	1.2495170273	1.1956248793	0.1002766116	0.0653238691	0.2614156628	0.0375888478
AT1G01710	1.2277808643	1.1824893023	1.2701821903	1.496366545	0.100585205	0.0947209376	0.0333798876	0.1133353757
AT1G01730	1.0247862643	0.9254386987	0.865989312	1.0071604233	0.0614804694	0.0679491954	0.0627587579	0.0770138919
AT1G01790	1.3176899017	1.1599298773	1.121968468	0.9987202323	0.0435310739	0.0174210466	0.0664760296	0.0676510804
AT1G01800	1.0466925767	1.0183679077	1.110840094	1.118310957	0.0537057321	0.0403660348	0.0057699611	0.0100132945
AT1G01820	0.9649818883	0.882984877	0.8973034313	0.9886772107	0.0230680169	0.0135324072	0.0237116395	0.0529172375
AT1G01910	0.9702745187	0.840444148	0.860131853	0.9105484687	0.0411921691	0.096829131	0.023302967	0.0951864199
AT1G01930	0.994197115	0.7801186643	0.7128534717	0.8280480947	0.0273092867	0.1408599248	0.0418255447	0.1447323457
AT1G01950	1.318534289	1.389808673	1.3889504823	1.179690145	0.1871274768	0.073297319	0.090382086	0.1230737414
AT1G01960	1.0215745823	1.032040959	1.1055617853	0.9129791297	0.0192797318	0.0500103174	0.0573316655	0.0207433983
AT1G01970	1.0165102683	0.8852799993	0.697192811	0.9135619277	0.1144059332	0.060266482	0.0626271657	0.0916768171
