EC	modelRxn	kcat_1/sec	KeggID		Commentary	Organism	LigandStructureID	literature	EC_KeggID	tax_dist
1.1.1.85	3IPMDH_h	0.622	C04411	cpd:C04411   (2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate; 2-D-threo-Hydroxy-3-carboxy-isocaproate	wild-type, pH not specified in the publication, temperature not specified in the publication	Arabidopsis thaliana	856	725437	1.1.1.85C04411	0
1.1.1.85		4.57	C04411	cpd:C04411   (2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate; 2-D-threo-Hydroxy-3-carboxy-isocaproate	wild type enzyme, at pH 7.5 and 25&degC	Arabidopsis thaliana	856	738685	1.1.1.85C04411	0
1.1.1.85		6.22	C04411	cpd:C04411   (2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate; 2-D-threo-Hydroxy-3-carboxy-isocaproate	wild-type, pH not specified in the publication, temperature not specified in the publication	Arabidopsis thaliana	856	725437	1.1.1.85C04411	0
1.1.1.85		9.05	C04411	cpd:C04411   (2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate; 2-D-threo-Hydroxy-3-carboxy-isocaproate	wild-type, pH not specified in the publication, temperature not specified in the publication	Arabidopsis thaliana	856	725437	1.1.1.85C04411	0
2.1.2.1		15.8	C00101 	cpd:C00101   Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA	pH 8.5, temperature not specified in the publication, recombinant AtSHMT3	Arabidopsis thaliana	184	718775	2.1.2.1C00101 	0
2.7.2.4		8.4	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	monofunctional AK3	Arabidopsis thaliana	7	679764	2.7.2.4C00002	0
2.7.2.4		14.5	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	monofunctional AK2	Arabidopsis thaliana	7	679764	2.7.2.4C00002	0
2.7.2.4		23.4	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	monofunctional AK1	Arabidopsis thaliana	7	679764	2.7.2.4C00002	0
2.6.1.19		15.4	C00041	cpd:C00041   L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	with 4-oxobutanoate as cosubstrate, in 50 mM TABS (pH 9), 1.5 mM dithiothreitol, 0.625 mM EDTA, 0.1 mM pyridoxal 5'-phosphate, 10% (v/v) glycerol, at 30&degC	Arabidopsis thaliana	97	704874	2.6.1.19C00041	0
2.6.1.45		2.86	C00041	cpd:C00041   L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	at 10 mM glyoxylate	Arabidopsis thaliana	97	684122	2.6.1.45C00041	0
